Brand_name,Price,Rating,Rating_count,Review_count,Ranking,URL
"Yale YDME 50 Pro with Mech Keys, App Enabled Access & Alarm Feature Smart Door Lock","8,499",0,0,0,11,https://www.flipkart.com/yale-ydme-50-pro-mech-keys-app-enabled-access-alarm-feature-smart-door-lock/p/itmc305728a2eaa4?pid=SLOHY9P2Z5YZZVKG&lid=LSTSLOHY9P2Z5YZZVKGXHMCHV&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_51&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsir6IZEKGlwd25nTym2YfjVR7zWLyP_ZkRMOneKSRievg%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Qubo Essential Lock by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock","9,490",3.7,20,3,12,https://www.flipkart.com/qubo-essential-lock-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-smart-door/p/itm8242e128ff38e?pid=SLOGZ4MNDQPHZTQS&lid=LSTSLOGZ4MNDQPHZTQSPI5GGT&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_52&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsipJ9wGWidYzmRMOTqc9SiMFo5lQm1-ZmRsWvp1TnuErg%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"SECUREYE FDL-400 Smart Door Lock","15,000",0,0,0,13,https://www.flipkart.com/secureye-fdl-400-smart-door-lock/p/itm98a5e9d39dc8f?pid=SLOGEBNP7ZZDRZUZ&lid=LSTSLOGEBNP7ZZDRZUZTO4SOR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_53&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGEBNP7ZZDRZUZ.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE OZ-FDL-04-Life-BL-Std Smart Door Lock","13,132",0,0,0,14,https://www.flipkart.com/ozone-oz-fdl-04-life-bl-std-smart-door-lock/p/itmf986ee21b825e?pid=SLOGGJZYKRBKFH59&lid=LSTSLOGGJZYKRBKFH59I28DBA&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_54&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGGJZYKRBKFH59.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Luxafare Automatic door closer Smart Door Lock",348,3.5,20,1,15,https://www.flipkart.com/luxafare-automatic-door-closer-smart-lock/p/itm4a0b1ad8fe264?pid=SLOGZH72V6782RSY&lid=LSTSLOGZH72V6782RSY9RMKX8&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_55&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGZH72V6782RSY.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"amiciSmart Biometric Smart Door Lock","11,899",0,0,0,16,https://www.flipkart.com/amicismart-biometric-smart-door-lock/p/itmad1ee02ab4676?pid=SLOGHYRDCGGUXRCR&lid=LSTSLOGHYRDCGGUXRCRSKQWQW&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_56&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGHYRDCGGUXRCR.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Yale YTYE Silver with Mechanical Key, Pin Code and Backlit Keyboard Smart Door Lock","4,999",0,0,0,17,https://www.flipkart.com/yale-ytye-silver-mechanical-key-pin-code-backlit-keyboard-smart-door-lock/p/itm33dbd9290c8ce?pid=SLOGY94YQUTSJE2R&lid=LSTSLOGY94YQUTSJE2RHDKAXK&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_57&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsiRI-UtEAEvEAb9mc1JepJsYteN2jdgiiTp61EXnm2_Jw%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Atomberg SL1 Black Smart Door Lock","15,999",4.8,28,16,18,https://www.flipkart.com/atomberg-sl1-black-smart-door-lock/p/itm8262f7c4932db?pid=SLOGTBZFW6T3JMZ2&lid=LSTSLOGTBZFW6T3JMZ2GEVKAW&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_58&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsh_4Ka8FLbUuxo3ZTcuPrDwOU8GVElzosw67bn-9Eo5B_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"GOLENS X83 Latest Automatic Smart Digital Door Lock | 5 Ways Unlocking Smart Door Lock","14,500",0,0,0,19,https://www.flipkart.com/golens-x83-latest-automatic-smart-digital-door-lock-5-ways-unlocking/p/itma15ed793dc29b?pid=SLOGSYV5C4P4MVV8&lid=LSTSLOGSYV5C4P4MVV83ZKSTV&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_59&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGSYV5C4P4MVV8.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"LOCKOMATIC THUNDER TBL01TY Smart Door Lock","12,399",0,0,0,20,https://www.flipkart.com/lockomatic-thunder-tbl01ty-smart-door-lock/p/itm5f78d9979d201?pid=SLOHYSHSY3U3PKFB&lid=LSTSLOHYSHSY3U3PKFBWZDCAA&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_60&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOHYSHSY3U3PKFB.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
